단어	정의	신세계역 성구 본문
모래	자갈보다 작고 실트보다 굵은 입자로 바다의 경계이자 수많음의 상징	창세기 22:15 "여호와의 천사가 하늘에서 두 번째로 아브라함을 불러 16 말했다. “여호와의 말씀이다. ‘내가 나 자신을 두고 맹세하는데, 네가 이 일을 하여 너의 아들, 너의 외아들까지 아끼지 않았으므로, 17 내가 반드시 너를 축복하고 너의 자손을 하늘의 별처럼, 바닷가의 모래알처럼 번성하게 할 것이다. 너의 자손은 적들의 문을 차지할 것이다"
목걸이	구슬이나 보석을 줄에 꿰어 목에 거는 장식품으로 고대에 귀중품으로 여겨짐	사사기 8:26 "그의 요청으로 들어온 금코걸이의 무게는 금 1700세겔이었다. 그 밖에도 초승달 모양의 장식과 고리 장식과 미디안 왕들이 입었던 자주색 양모 옷과 낙타 목에서 벗긴 목걸이가 있었다"
목욕	물에 담그거나 물을 부어 몸을 깨끗하게 하는 행위로 정결 의식과 관련됨	출애굽기 2:5 "그런데 파라오의 딸이 목욕을 하려고 나일 강으로 내려왔고, 그의 시녀들은 나일 강가를 거닐고 있었다. 파라오의 딸은 갈대 사이에 있는 바구니를 보고 즉시 여종을 보내 그것을 가져오게 했다"
바늘	한쪽은 뾰족하고 다른 쪽에 귀가 있는 가느다란 용구로 바느질과 수놓기에 사용	마태복음 19:24 "다시 여러분에게 말하는데, 부자가 하느님의 왕국에 들어가는 것보다 낙타가 바늘귀로 빠져나가는 것이 더 쉽습니다."
바다	육지와 구별되는 물이 괸 곳으로 지구 면적의 70퍼센트 이상을 차지함	창세기 1:10 "하느님께서 육지를 ‘땅’이라고 부르시고, 모인 물을 ‘바다’라고 부르셨다. 하느님께서 보시기에 좋았다"
바퀴	축을 중심으로 회전하는 둥근 물체로 전차와 맷돌 등에 사용됨	출애굽기 14:25 "그분이 그들의 병거에서 바퀴가 빠지게 하시므로 그들이 병거를 몰기가 어려웠다. 이집트인들이 말했다. “이스라엘 사람들에게서 도망하자. 여호와가 그들을 위해 이집트인들과 싸우고 있다."
반지	코 귀 손가락에 착용한 고리 형태 장식품으로 인장으로도 사용됨	창세기 38:18 "유다가 “내가 너에게 무슨 담보물을 주면 좋겠느냐?” 하고 묻자 그가 대답했다. “당신의 인장 반지와 끈과 손에 들고 있는 지팡이를 주십시오.” 그래서 유다가 그것들을 그에게 주고 그와 관계를 가졌고, 그가 유다에 의해 임신했다"
발꿈치	발 뒤쪽 발목 아랫부분으로 지체시키거나 방해하는 비유로 사용됨	창세기 3:15 "그리고 내가 너와 여자 사이에, 너의 자손과 여자의 자손 사이에 적의를 둘 것이다. 그는 너의 머리를 짓밟을 것이고 너는 그의 발꿈치를 상하게 할 것이다."
버터	우유를 흔들어 만든 반액체 유제품으로 고대에 귀한 식품이었음	창세기 18:8 "아브라함은 버터와 젖과 그가 준비한 송아지 요리를 가져다가 그들 앞에 음식을 차려 놓았다. 그리고 그들이 먹는 동안 나무 아래서 그들 곁에 서 있었다"
벌레	가늘고 기어 다니는 무른 동물로 주로 곤충 유충을 가리키며 부패를 상징	출애굽기 16:20 "그러나 그들은 모세의 말을 듣지 않았다. 어떤 사람들이 그중 일부를 아침까지 남겨 두자, 벌레가 생기고 악취가 풍겼다. 모세가 그들에게 분노했다"
벽돌	점토나 진흙으로 만든 건축 재료로 바벨 탑 등 고대 건축에 널리 쓰임	창세기 11:3 "그들이 서로 말했다. “자! 우리가 벽돌을 만들어 불로 굽자.” 그래서 그들은 돌 대신 벽돌을 사용했고 역청을 모르타르로 사용했다"
병거	바퀴 둘에 말이 이끄는 전투용 수레로 고대 전쟁의 핵심 무기	창세기 41:43 "그리고 자기에게 있는 두 번째로 영예로운 병거에 그를 태웠으며, 사람들은 그의 앞에서 “아브레크!”라고 외쳤다. 이렇게 하여 파라오는 그에게 이집트 온 땅을 맡겼다"
비늘	물고기와 파충류의 피부 보호 구조로 정한 것과 부정한 것의 구분 기준	출애굽기 28:32 "그 위쪽 한가운데에는 구멍이 있어야 한다. 구멍 둘레에는 직조공이 짜서 만든 깃이 있어야 한다. 비늘 갑옷의 구멍처럼 만들어 찢어지지 않게 해야 한다"
비단	누에 고치에서 뽑은 섬유로 만든 아름답고 가벼운 고급 천	요한 계시록 18:12 "그 가득한 상품은 금, 은, 보석, 진주, 고운 아마포, 자주색 천, 비단, 진홍색 천, 향나무로 만든 모든 것, 상아와 귀한 목재와 구리와 철과 대리석으로 만든 온갖 물품, 13 계피, 인도산 향료, 향, 향유, 유향, 포도주, 올리브기름, 고운 밀가루, 밀, 소, 양, 말, 수레, 노예, 사람의 목숨이다"
사과	히브리어 탑푸아흐가 가리키는 향기로운 열매로 정확한 식물은 불확실함	솔로몬의 노래 2:3 "“아들들 사이에 있는 내 소중한 이는 숲의 나무들 사이에 있는 사과나무 같답니다. 내가 그이의 그늘에 앉기를 간절히 사모하니, 그이의 열매는 내 입에 달콤하답니다"
사슴	팔레스타인에 서식했던 정한 동물로 분류된 뿔 달린 포유류 짐승	신명기 12:15 "당신의 하느님 여호와께서 당신에게 주신 축복에 따라, 당신의 모든 도시 안에서 당신이 원할 때는 언제든 짐승을 잡아 고기를 먹을 수 있습니다. 부정한 자든 정결한 자든, 가젤이나 사슴을 먹는 것처럼 그 고기를 먹을 수 있습니다"
산호	따뜻한 바닷물의 폴립이 만드는 석회질 퇴적물로 아름다운 가지를 친 보석	욥기 28:18 "산호와 수정은 말할 것도 없으니, 지혜 한 자루가 진주 한 자루보다 더 가치 있기 때문이네"
상아	코끼리 등 동물의 엄니로 단단하고 조각이 쉬워 귀한 장식 재료로 쓰임	열왕기상 10:18 "또 왕은 큰 상아 왕좌를 만들고 그것을 정련된 금으로 입혔다"
상인	이윤을 얻기 위해 사고팔거나 물물 교환하는 장사꾼	창세기 23:16 "아브라함은 에프론의 말을 듣고, 헷 자손들이 듣는 데서 에프론이 말한 양의 은 곧 은 400세겔을 상인들 사이에서 통용되는 무게로 그에게 달아 주었다"
새김	나무나 금속 돌에 도안이나 글자를 새겨 넣는 기술	레위기 11:3 "굽이 갈라지고 굽에 틈이 있으며 되새김질하는 동물은 모두 먹을 수 있다." (되새김질 형태)
샌들	가죽이나 나무로 된 납작한 바닥에 끈으로 발을 고정시킨 신발	창세기 14:22 "하지만 아브람이 소돔 왕에게 말했다. “하늘과 땅을 만드신 가장 높으신 하느님 여호와께 내가 손을 들어 맹세하는데, 23 실오라기 하나에서 신발 끈 하나까지 당신의 것은 아무것도 가지지 않을 것입니다. 당신이 ‘내가 아브람을 부자로 만들었다’고 말하지 못하게 하려는 것입니다" (신발 형태)
석류	적갈색 사과 모양의 열매로 과즙이 풍부하고 씨가 많이 든 과일	출애굽기 28:33 "그 옷단 둘레에는 청색 실과 자주색 양모와 진홍색 실로 석류를 만들어 달고, 그것들 사이사이에 금종을 만들어 달아야 한다"
수레	고대의 나무로 만든 운송 수단으로 바퀴가 달린 짐바리	창세기 45:17 "그래서 파라오가 요셉에게 말했다. “그대의 형제들에게 말하시오. ‘이렇게 하십시오. 여러분의 짐승에 짐을 싣고 가나안 땅으로 가서 18 여러분의 아버지와 집안사람들을 데리고 여기 내게로 오십시오. 내가 여러분에게 이집트 땅의 좋은 것을 줄 것이며, 여러분은 이 땅의 가장 기름진 것을 먹을 것입니다.’ 19 그리고 내가 명령하는 대로 그들에게 이렇게 말하시오. ‘이렇게 하십시오. 여러분의 자녀들과 아내들을 위해 이집트 땅에서 수레들을 끌고 가십시오. 그리고 여러분의 아버지를 수레에 태우고 이곳으로 오십시오"
자루	곡식이나 식량 귀중품을 담는 가죽이나 천으로 만든 주머니	창세기 37:34 "그러면서 야곱이 자기 옷을 찢고 자루천을 허리에 두르고 자기 아들을 위해 여러 날 동안 슬퍼했다"
자수	바늘로 천이나 가죽에 실로 무늬를 놓는 고대 장식 기술	출애굽기 28:19 "셋째 줄은 레셈석과 마노와 자수정이다"
자칼	여우와 비슷한 들개로 폐허와 황무지를 상징하는 데 자주 쓰이는 동물	욥기 30:29 "나는 자칼의 형제가 되고 타조 딸들의 친구가 되었네"
작살	큰 물고기를 찌르는 날카로운 촉이 달린 창 모양의 도구	욥기 41:1 "“너는 낚시로 리워야단을 잡거나 줄로 그 혀를 붙잡아 맬 수 있느냐? 2 줄로 그 콧구멍을 꿰거나 갈고리로 그 턱을 뚫을 수 있느냐? 3 그것이 네게 빌고 또 빌거나 부드럽게 말하겠느냐? 4 그것이 너와 계약을 맺어 평생 너의 종이 되겠느냐? 5 네가 새와 놀듯 그것과 함께 놀거나 너의 소녀들을 위해 그것을 끈에 매어 두겠느냐? 6 상인들이 그것을 놓고 흥정하며 장사꾼들 사이에서 그것을 나누겠느냐? 7 네가 그 가죽을 창으로, 그 머리를 물고기 작살로 온통 찌르겠느냐? 8 네 손을 그 위에 얹어 보아라. 너는 그것과 싸운 일을 잊지 못하게 되어 다시는 그렇게 하지 않을 것이다! 9 그것을 제압할 수 있다는 희망은 헛되다. 너는 그것을 보기만 해도 겁에 질릴 것이다"
장터	고대 도시에서 물건을 사고팔고 공공 집회가 열리던 광장	마태복음 11:16 "이 세대를 누구에 비하겠습니까? 마치 장터에 앉아 친구들에게 이렇게 외치는 아이들과 같습니다"
전갈	거미류에 속한 작은 절지동물로 꼬리에 독침을 가진 위험한 생물	신명기 8:15 "그분은 독사와 전갈이 있고 물 없이 메마른 땅, 크고 두려운 광야를 당신이 걸어서 지나가게 하셨습니다"
종이	파피루스 식물을 얇게 잘라 만든 고대의 필기 도구	요한 둘째 12 "내가 여러분에게 쓸 것이 많지만 종이와 잉크로 쓰고 싶지 않습니다. 그보다는 여러분에게 가서 얼굴을 마주하고 말할 수 있기를 바랍니다."
주석	녹는점이 낮은 푸른빛 흰색 금속으로 정련 과정에서 분리되는 찌꺼기	민수기 31:22 "‘금, 은, 구리, 철, 주석, 납 등 23 불로 처리할 수 있는 것은 모두 불을 지나가게 해야 정결해집니다. 또한 정결하게 하는 물로도 그것을 정결하게 해야 합니다. 불로 처리할 수 없는 것은 모두 물을 지나가게 해야 합니다"
진주	조개体内에 형성된 구형의 보석으로 가치가 높아 비유에 쓰임	에스더 1:6 "그곳에는 아마포와 고운 무명과 청색 천이 고운 직물과 자주색 양모로 짠 줄로 대리석 기둥의 은고리에 매여 있었으며, 금과 은으로 된 침상들이 반암과 대리석과 진주와 검은 대리석이 깔린 바닥에 놓여 있었다"
진흙	젖었을 때 모양을 바꿀 수 있고 말리면 단단해지는 미세한 흙	출애굽기 1:14 "그들은 이스라엘 사람들에게 진흙 모르타르와 벽돌을 만드는 일과 들에서 하는 온갖 노역을 시켜, 힘든 노동으로 그들의 삶을 괴롭게 만들었다. 그처럼 온갖 노역으로 그들을 열악한 환경에서 고생하게 했다"
차꼬	수형자의 양발을 나무 형틀에 채우는 고대의 형구	욥기 13:27 "당신은 제 발에 차꼬를 채우시고 저의 모든 길을 낱낱이 살피시며 제 발자국 하나하나를 추적하십니다"
창고	곡식과 포도주 기름 귀금속을 비축해 두는 저장 시설	창세기 41:56 "기근이 온 땅에 계속되었다. 그때에 요셉이 사람들 가운데 있는 모든 곡물 창고를 열어 이집트인들에게 팔기 시작했다. 이집트 땅에 기근이 몹시 심했던 것이다"
창병	창으로 무장한 군인으로 로마 점령군의 일부였던 보병	사도행전 23:23 "그는 두 장교를 불러 말했다. “밤 제3시에 카이사레아로 떠날 수 있도록 군인 200명과 기병 70명과 창병 200명을 준비시키시오"
창자	사람이나 동물의 내장이나 속을 가리키는 히브리어 케레브의 번역	출애굽기 29:13 "그러고 나서 창자를 덮고 있는 모든 기름, 간에 붙어 있는 것, 두 콩팥과 거기에 있는 기름을 가져다가 제단에서 불살라 연기를 올려라"
채찍	가죽 끈으로 된 노끈 형태의 도구로 사람이나 동물을 다루는 데 쓰임	여호수아 23:12 "만일 여러분이 돌아서서 아직 여러분 곁에 남아 있는 이 나머지 민족들을 가까이하고, 그들과 통혼하여 그들과 어울리고 그들도 여러분과 어울리면, 13 여러분의 하느님 여호와께서 다시는 여러분을 위해 이 민족들을 쫓아내지 않으실 것임을 분명히 알아 두어야 합니다. 그들이 덫과 올무가 되고 옆구리에 채찍이 되며 눈에 가시가 되어, 마침내 여러분은 여러분의 하느님 여호와께서 주신 이 좋은 땅에서 멸망하고 말 것입니다"
천둥	번개 방전 후 가열된 공기의 팽창으로 발생하는 큰 소리	출애굽기 9:23 "그래서 모세가 하늘을 향해 지팡이를 내밀자 여호와께서 천둥과 우박을 보내셨으며, 불이 땅으로 떨어졌다. 여호와께서 이집트 땅 위에 계속 우박을 내리셨다"
천막	천이나 가죽으로 만들어 이동하며 거주할 수 있게 한 집	창세기 4:20 "아다는 야발을 낳았다. 그는 천막에 살면서 가축을 치는 사람들의 시조가 되었다"
침대	잠자는 자리로 부와 신분에 따라 종류와 구조가 달랐던 가구	출애굽기 8:3 "그러면 나일 강에 개구리들이 우글거리고, 그것들이 올라와서 네 집과 침실로, 침대 위로, 신하들의 집으로, 백성에게로, 화덕과 반죽통으로 들어갈 것이다"
타작	곡식을 줄기와 겨에서 떼어내는 작업으로 도리깨나 썰매로 수행함	창세기 50:10 "그들은 요르단 지방에 있는 아닷의 타작마당에 이르러 그곳에서 몹시 슬퍼하고 애도했으며, 그는 자기 아버지를 위해 7일 동안 애도했다"
팔찌	팔목이나 팔뚝에 차는 장식용 고리로 고대에 남녀 모두가 찼음	창세기 24:30 "라반은 코걸이와 누이의 손에 있는 팔찌들을 보고, 또 “그 사람이 내게 이렇게 말했습니다”라고 한 누이 리브가의 말을 듣고 그 사람을 만나러 간 것이다. 그 사람은 그때까지 샘에서 낙타들 곁에 서 있었다"
표범	연한 황갈색에 검은 점이 있는 대형 고양잇과 동물로 팔레스타인에 서식	솔로몬의 노래 4:8 "레바논을 떠나 나와 함께 갑시다, 나의 신부여. 레바논을 떠나 나와 함께 갑시다. 아마나의 꼭대기에서, 스닐의 꼭대기, 헤르몬의 꼭대기에서, 사자의 거처에서, 표범의 산에서 내려와 주오"
해면	수생 동물의 골격으로 수분 흡수력이 좋고 질기며 탄력성이 있음	마태복음 27:48 "그 즉시 그들 중 한 사람이 달려가서 해면을 가져다가 신 포도주에 적셔 갈대에 꽂아 그분에게 마시라고 주었다"
화덕	빵을 굽거나 식품을 익히기 위해 가열하는 아궁이처럼 만든 도구	출애굽기 8:3 "그러면 나일 강에 개구리들이 우글거리고, 그것들이 올라와서 네 집과 침실로, 침대 위로, 신하들의 집으로, 백성에게로, 화덕과 반죽통으로 들어갈 것이다"
화로	숯불을 담아 난방에 쓰는 다리가 달린 냄비 모양의 기구	레위기 11:35 "그것들의 사체가 어떤 것에든 떨어지면 그것은 부정해진다. 화덕이든 작은 화로든 부수어야 한다. 그것들은 부정한 것으로, 너희에게 계속 부정하다"
횃불	손으로 들고 다니는 불로 수지 함유 나무나 기름 적신 물질에 불을 붙인 것	창세기 15:17 "해가 져서 매우 어두워졌을 때에 연기 나는 가마가 나타났고 타오르는 횃불이 그 갈라놓은 조각들 사이로 지나갔다"
힘줄	근육의 기초가 되는 희고 질긴 살의 줄	창세기 32:32 "그 때문에 이스라엘 자손은 오늘날까지 엉덩이뼈 관절에 있는 넓적다리 힘줄을 먹지 않는 관습이 있다. 그 사람이 야곱의 엉덩이뼈 관절에 있는 넓적다리 힘줄을 건드렸기 때문이다."
