단어	정의	신세계역 성구
목욕	물에 담그거나 물을 부어 몸을 깨끗하게 하는 행위로 정결 의식과 관련됨	성구 없음
바늘	한쪽은 뾰족하고 다른 쪽에 귀가 있는 가느다란 용구로 바느질과 수놓기에 사용	성구 없음 (후보: 마태 19:24)
바다	육지와 구별되는 물이 괸 곳으로 지구 면적의 70퍼센트 이상을 차지함	요한 계시록 21:1 "바다도 더는 없었다"
바퀴	축을 중심으로 회전하는 둥근 물체로 전차와 맷돌 등에 사용됨	성구 없음 (후보: 에스겔 1장)
반지	코 귀 손가락에 착용한 고리 형태 장식품으로 인장으로도 사용됨	에스더 3:10; 에스더 8:2
발꿈치	발 뒤쪽 발목 아랫부분으로 지체시키거나 방해하는 비유로 사용됨	창세기 3:15
버터	우유를 흔들어 만든 반액체 유제품으로 고대에 귀한 식품이었음	성구 없음
벌레	가늘고 기어 다니는 무른 동물로 주로 곤충 유충을 가리키며 부패를 상징	성구 없음 (후보: 욥 25:6; 마가 9:48)
벽돌	점토나 진흙으로 만든 건축 재료로 바벨 탑 등 고대 건축에 널리 쓰임	성구 없음 (후보: 에스겔 4:1)
병거	바퀴 둘에 말이 이끄는 전투용 수레로 고대 전쟁의 핵심 무기	출애굽기 14:23; 사사기 4:13
비늘	물고기와 파충류의 피부 보호 구조로 정한 것과 부정한 것의 구분 기준	레위기 11:9; 에스겔 29:4
비단	누에 고치에서 뽑은 섬유로 만든 아름답고 가벼운 고급 천	성구 없음
사과	히브리어 탑푸아흐가 가리키는 향기로운 열매로 정확한 식물은 불확실함	잠언 25:11 "은 조각물에 놓인 금 사과"
사슴	팔레스타인에 서식했던 정한 동물로 분류된 뿔 달린 포유류 짐승	성구 없음 (후보: 시편 42:1)
산호	따뜻한 바닷물의 폴립이 만드는 석회질 퇴적물로 아름다운 가지를 친 보석	잠언 8:11
상아	코끼리 등 동물의 엄니로 단단하고 조각이 쉬워 귀한 장식 재료로 쓰임	성구 없음 (후보: 열왕기상 10:22)
상인	이윤을 얻기 위해 사고팔거나 물물 교환하는 장사꾼	성구 없음 (후보: 에스겔 27장)
새김	나무나 금속 돌에 도안이나 글자를 새겨 넣는 기술	성구 없음 (후보: 이사야 57:8)
샌들	가죽이나 나무로 된 납작한 바닥에 끈으로 발을 고정시킨 신발	성구 없음 (후보: 마가 6:9)
석류	적갈색 사과 모양의 열매로 과즙이 풍부하고 씨가 많이 든 과일	성구 없음 (후보: 민수기 13:23; 아가 4:3)
수레	고대의 나무로 만든 운송 수단으로 바퀴가 달린 짐바리	사무엘상 6:14
자루	곡식이나 식량 귀중품을 담는 가죽이나 천으로 만든 주머니	여호수아 9:4
자수	바늘로 천이나 가죽에 실로 무늬를 놓는 고대 장식 기술	출애굽기 35:35
자칼	여우와 비슷한 들개로 폐허와 황무지를 상징하는 데 자주 쓰이는 동물	예레미야 9:11
작살	큰 물고기를 찌르는 날카로운 촉이 달린 창 모양의 도구	욥기 41:7
장터	고대 도시에서 물건을 사고팔고 공공 집회가 열리던 광장	사도행전 17:17
전갈	거미류에 속한 작은 절지동물로 꼬리에 독침을 가진 위험한 생물	신명기 8:15
종이	파피루스 식물을 얇게 잘라 만든 고대의 필기 도구	요한둘째 12절
주석	녹는점이 낮은 푸른빛 흰색 금속으로 정련 과정에서 분리되는 찌꺼기	에스겔 22:18
진주	조개体内에 형성된 구형의 보석으로 가치가 높아 비유에 쓰임	마태 13:45
진흙	젖었을 때 모양을 바꿀 수 있고 말리면 단단해지는 미세한 흙	욥기 38:14
차꼬	수형자의 양발을 나무 형틀에 채우는 고대의 형구	예레미야 20:2
창고	곡식과 포도주 기름 귀금속을 비축해 두는 저장 시설	역대기하 32:27
창병	창으로 무장한 군인으로 로마 점령군의 일부였던 보병	성구 없음
창자	사람이나 동물의 내장이나 속을 가리키는 히브리어 케레브의 번역	성구 없음
채찍	가죽 끈으로 된 노끈 형태의 도구로 사람이나 동물을 다루는 데 쓰임	성구 없음
천둥	번개 방전 후 가열된 공기의 팽창으로 발생하는 큰 소리	사무엘상 7:10; 시편 81:7; 욥기 37:4
천막	천이나 가죽으로 만들어 이동하며 거주할 수 있게 한 집	민수기 7:89 "만남의 천막"; 출애굽기 40:3
침대	잠자는 자리로 부와 신분에 따라 종류와 구조가 달랐던 가구	성구 없음
타작	곡식을 줄기와 겨에서 떼어내는 작업으로 도리깨나 썰매로 수행함	성구 없음
팔찌	팔목이나 팔뚝에 차는 장식용 고리로 고대에 남녀 모두가 찼음	성구 없음
표범	연한 황갈색에 검은 점이 있는 대형 고양잇과 동물로 팔레스타인에 서식	이사야 11:6 "표범이 새끼 염소와 함께 누우며"
해면	수생 동물의 골격으로 수분 흡수력이 좋고 질기며 탄력성이 있음	성구 없음
화덕	빵을 굽거나 식품을 익히기 위해 가열하는 아궁이처럼 만든 도구	성구 없음
화로	숯불을 담아 난방에 쓰는 다리가 달린 냄비 모양의 기구	성구 없음
횃불	손으로 들고 다니는 불로 수지 함유 나무나 기름 적신 물질에 불을 붙인 것	성구 없음
힘줄	근육의 기초가 되는 희고 질긴 살의 줄	성구 없음
